t_rel_s,phase,mv,ma,watt,temp_max_c
22.431,warmup,4984.0,968.0,4.8245,58.94
22.531,warmup,4984.0,968.0,4.8245,58.84
22.631,warmup,4984.0,968.0,4.8245,58.91
22.731,warmup,4984.0,968.0,4.8245,58.75
22.831,warmup,4984.0,968.0,4.8245,58.75
22.931,warmup,4984.0,968.0,4.8245,58.78
23.031,warmup,4984.0,968.0,4.8245,58.75
23.132,warmup,4984.0,968.0,4.8245,58.75
23.232,warmup,4984.0,968.0,4.8245,58.97
23.332,warmup,4984.0,968.0,4.8245,59.03
23.432,warmup,4984.0,968.0,4.8245,58.88
23.532,warmup,4984.0,968.0,4.8245,58.84
23.632,warmup,4984.0,968.0,4.8245,58.75
23.732,warmup,4984.0,968.0,4.8245,58.75
23.833,warmup,4984.0,968.0,4.8245,58.72
23.933,warmup,4984.0,968.0,4.8245,58.78
24.033,warmup,4984.0,968.0,4.8245,58.72
24.133,warmup,4984.0,968.0,4.8245,58.94
24.233,warmup,4984.0,968.0,4.8245,58.97
24.333,warmup,4984.0,968.0,4.8245,58.91
24.433,warmup,4984.0,968.0,4.8245,58.84
24.534,warmup,4984.0,968.0,4.8245,58.81
24.634,warmup,4984.0,968.0,4.8245,58.94
24.734,warmup,4984.0,968.0,4.8245,58.81
24.834,warmup,4984.0,968.0,4.8245,58.69
24.934,warmup,4984.0,968.0,4.8245,58.81
25.034,warmup,4984.0,968.0,4.8245,58.69
25.134,warmup,4984.0,968.0,4.8245,58.94
25.235,warmup,4984.0,968.0,4.8245,58.94
25.335,warmup,4984.0,968.0,4.8245,58.88
25.435,warmup,4984.0,968.0,4.8245,58.84
25.535,warmup,4984.0,968.0,4.8245,58.84
25.635,warmup,4984.0,968.0,4.8245,58.78
25.735,warmup,4984.0,968.0,4.8245,58.72
25.835,warmup,4984.0,968.0,4.8245,58.72
25.936,warmup,4984.0,968.0,4.8245,58.75
26.036,warmup,4984.0,968.0,4.8245,58.94
26.136,warmup,4984.0,968.0,4.8245,58.84
