t_rel_s,phase,mv,ma,watt,temp_max_c
26.740,warmup,4952.0,1776.0,8.7948,61.56
26.841,warmup,4952.0,1768.0,8.7551,61.41
26.941,warmup,4944.0,1784.0,8.8201,61.53
27.041,warmup,4944.0,1792.0,8.8596,61.44
27.141,warmup,4944.0,1784.0,8.8201,61.53
27.241,warmup,4952.0,1776.0,8.7948,61.38
27.342,warmup,4952.0,1768.0,8.7551,61.47
27.442,warmup,4944.0,1784.0,8.8201,61.53
27.542,warmup,4944.0,1792.0,8.8596,61.50
27.642,warmup,4944.0,1784.0,8.8201,61.75
27.742,warmup,4952.0,1776.0,8.7948,61.53
27.842,warmup,4952.0,1768.0,8.7551,61.44
27.942,warmup,4952.0,1784.0,8.8344,61.78
28.043,warmup,4952.0,1784.0,8.8344,61.72
28.143,warmup,4952.0,1784.0,8.8344,61.47
28.243,warmup,4952.0,1768.0,8.7551,61.75
28.343,warmup,4952.0,1768.0,8.7551,61.41
28.443,warmup,4944.0,1784.0,8.8201,61.66
28.543,warmup,4944.0,1784.0,8.8201,61.44
28.643,warmup,4952.0,1776.0,8.7948,61.56
28.744,warmup,4952.0,1768.0,8.7551,61.47
28.844,warmup,4952.0,1768.0,8.7551,61.59
28.944,warmup,4944.0,1792.0,8.8596,61.56
29.044,warmup,4944.0,1784.0,8.8201,61.66
29.144,warmup,4952.0,1776.0,8.7948,61.62
29.244,warmup,4952.0,1768.0,8.7551,61.50
29.344,warmup,4952.0,1776.0,8.7948,61.72
29.444,warmup,4944.0,1784.0,8.8201,61.75
29.545,warmup,4944.0,1784.0,8.8201,61.62
29.645,warmup,4944.0,1776.0,8.7805,61.81
29.745,warmup,4952.0,1768.0,8.7551,61.62
29.845,warmup,4952.0,1776.0,8.7948,61.47
29.945,warmup,4944.0,1792.0,8.8596,61.56
30.045,warmup,4944.0,1792.0,8.8596,61.84
30.145,warmup,4952.0,1784.0,8.8344,61.50
30.246,warmup,4952.0,1760.0,8.7155,61.41
30.346,warmup,4952.0,1776.0,8.7948,61.62
30.446,warmup,4944.0,1792.0,8.8596,61.69
30.546,warmup,4944.0,1784.0,8.8201,61.72
30.646,warmup,4952.0,1776.0,8.7948,61.62
30.746,warmup,4952.0,1760.0,8.7155,61.59
30.846,warmup,4952.0,1776.0,8.7948,61.72
30.947,warmup,4944.0,1792.0,8.8596,61.72
31.047,warmup,4952.0,1784.0,8.8344,61.91
31.147,warmup,4952.0,1776.0,8.7948,61.81
31.247,warmup,4952.0,1760.0,8.7155,61.62
31.347,warmup,4952.0,1784.0,8.8344,61.88
31.447,warmup,4944.0,1784.0,8.8201,61.94
31.547,warmup,4944.0,1776.0,8.7805,61.81
31.647,warmup,4952.0,1776.0,8.7948,61.62
31.748,warmup,4952.0,1760.0,8.7155,61.62
31.848,warmup,4952.0,1784.0,8.8344,61.62
31.948,warmup,4952.0,1792.0,8.8740,61.66
32.048,warmup,4944.0,1784.0,8.8201,61.75
32.148,warmup,4952.0,1776.0,8.7948,61.66
32.248,warmup,4952.0,1760.0,8.7155,61.72
32.348,warmup,4952.0,1784.0,8.8344,61.72
32.448,warmup,4944.0,1792.0,8.8596,61.75
32.549,warmup,4944.0,1784.0,8.8201,61.88
32.649,warmup,4944.0,1784.0,8.8201,61.78
32.749,warmup,4952.0,1768.0,8.7551,61.88
32.849,warmup,4944.0,1784.0,8.8201,61.78
32.949,warmup,4944.0,1792.0,8.8596,61.88
33.049,warmup,4944.0,1784.0,8.8201,61.69
33.149,warmup,4944.0,1784.0,8.8201,61.97
33.249,warmup,4952.0,1768.0,8.7551,61.75
33.350,warmup,4944.0,1776.0,8.7805,61.72
33.450,warmup,4944.0,1792.0,8.8596,62.09
33.550,warmup,4944.0,1792.0,8.8596,61.88
33.650,warmup,4944.0,1784.0,8.8201,61.69
33.750,warmup,4952.0,1768.0,8.7551,61.72
33.850,warmup,4944.0,1776.0,8.7805,61.62
33.950,warmup,4944.0,1792.0,8.8596,61.88
34.050,warmup,4944.0,1792.0,8.8596,61.91
34.151,warmup,4944.0,1784.0,8.8201,61.75
34.251,warmup,4944.0,1768.0,8.7410,61.84
34.351,warmup,4944.0,1776.0,8.7805,61.72
34.451,warmup,4944.0,1792.0,8.8596,62.16
34.551,warmup,4944.0,1784.0,8.8201,62.03
34.651,warmup,4944.0,1784.0,8.8201,61.91
34.751,warmup,4952.0,1768.0,8.7551,61.66
34.852,warmup,4944.0,1776.0,8.7805,61.97
34.952,warmup,4944.0,1800.0,8.8992,62.03
35.052,warmup,4944.0,1792.0,8.8596,61.84
35.152,warmup,4952.0,1784.0,8.8344,62.16
35.252,warmup,4952.0,1768.0,8.7551,61.75
35.352,warmup,4952.0,1776.0,8.7948,61.75
35.452,warmup,4944.0,1792.0,8.8596,61.88
35.553,warmup,4944.0,1792.0,8.8596,61.81
35.653,warmup,4944.0,1784.0,8.8201,61.84
35.753,warmup,4952.0,1768.0,8.7551,61.84
35.853,warmup,4952.0,1776.0,8.7948,61.91
35.953,warmup,4952.0,1792.0,8.8740,62.09
36.053,warmup,4944.0,1784.0,8.8201,61.97
36.153,warmup,4944.0,1784.0,8.8201,61.88
36.253,warmup,4952.0,1768.0,8.7551,62.00
36.354,warmup,4952.0,1768.0,8.7551,61.94
36.454,warmup,4944.0,1784.0,8.8201,61.81
36.554,warmup,4944.0,1784.0,8.8201,62.19
36.655,warmup,4944.0,1784.0,8.8201,62.09
36.755,warmup,4952.0,1776.0,8.7948,61.97
36.855,warmup,4952.0,1768.0,8.7551,61.97
36.955,warmup,4952.0,1792.0,8.8740,61.91
37.055,warmup,4944.0,1792.0,8.8596,61.97
37.155,warmup,4952.0,1784.0,8.8344,62.03
37.255,warmup,4952.0,1768.0,8.7551,61.84
37.356,warmup,4952.0,1768.0,8.7551,61.88
37.456,warmup,4944.0,1784.0,8.8201,62.06
37.556,warmup,4944.0,1792.0,8.8596,61.97
37.656,warmup,4944.0,1784.0,8.8201,62.16
37.756,warmup,4952.0,1776.0,8.7948,61.97
37.857,warmup,4952.0,1768.0,8.7551,61.97
37.957,warmup,4944.0,1792.0,8.8596,62.22
38.057,warmup,4944.0,1792.0,8.8596,62.19
38.157,warmup,4944.0,1784.0,8.8201,61.88
38.257,warmup,4952.0,1768.0,8.7551,62.16
38.357,warmup,4952.0,1768.0,8.7551,61.88
38.457,warmup,4944.0,1784.0,8.8201,62.00
