t_rel_s,phase,mv,ma,watt,temp_max_c
25.637,warmup,4952.0,1664.0,8.2401,61.34
25.737,warmup,4952.0,1688.0,8.3590,61.31
25.837,warmup,4952.0,1672.0,8.2797,61.31
25.937,warmup,4952.0,1688.0,8.3590,61.34
26.037,warmup,4952.0,1672.0,8.2797,61.25
26.138,warmup,4952.0,1688.0,8.3590,61.47
26.238,warmup,4952.0,1664.0,8.2401,61.16
26.338,warmup,4952.0,1688.0,8.3590,61.22
26.438,warmup,4952.0,1664.0,8.2401,61.19
26.538,warmup,4952.0,1688.0,8.3590,61.38
26.638,warmup,4952.0,1664.0,8.2401,61.34
26.738,warmup,4952.0,1688.0,8.3590,61.41
26.839,warmup,4952.0,1664.0,8.2401,61.31
26.939,warmup,4952.0,1688.0,8.3590,61.22
27.039,warmup,4952.0,1664.0,8.2401,61.28
27.139,warmup,4952.0,1688.0,8.3590,61.34
27.239,warmup,4952.0,1664.0,8.2401,61.31
27.339,warmup,4952.0,1688.0,8.3590,61.41
27.439,warmup,4952.0,1664.0,8.2401,61.44
27.540,warmup,4952.0,1688.0,8.3590,61.53
27.640,warmup,4952.0,1664.0,8.2401,61.34
27.740,warmup,4952.0,1680.0,8.3194,61.31
27.840,warmup,4952.0,1664.0,8.2401,61.41
27.940,warmup,4952.0,1696.0,8.3986,61.50
28.040,warmup,4952.0,1664.0,8.2401,61.16
28.140,warmup,4952.0,1688.0,8.3590,61.31
28.241,warmup,4952.0,1664.0,8.2401,61.44
28.341,warmup,4952.0,1688.0,8.3590,61.50
28.441,warmup,4952.0,1664.0,8.2401,61.47
28.541,warmup,4952.0,1688.0,8.3590,61.38
28.641,warmup,4952.0,1664.0,8.2401,61.34
28.741,warmup,4952.0,1688.0,8.3590,61.47
28.841,warmup,4952.0,1664.0,8.2401,61.34
28.942,warmup,4952.0,1688.0,8.3590,61.56
29.042,warmup,4952.0,1664.0,8.2401,61.31
29.142,warmup,4952.0,1688.0,8.3590,61.41
29.242,warmup,4952.0,1664.0,8.2401,61.56
29.342,warmup,4952.0,1688.0,8.3590,61.53
29.442,warmup,4952.0,1664.0,8.2401,61.47
29.542,warmup,4952.0,1696.0,8.3986,61.47
29.643,warmup,4952.0,1664.0,8.2401,61.41
29.743,warmup,4952.0,1696.0,8.3986,61.38
29.843,warmup,4952.0,1664.0,8.2401,61.41
29.943,warmup,4952.0,1696.0,8.3986,61.69
30.043,warmup,4952.0,1664.0,8.2401,61.31
30.143,warmup,4952.0,1696.0,8.3986,61.59
30.243,warmup,4952.0,1664.0,8.2401,61.56
30.344,warmup,4952.0,1688.0,8.3590,61.47
30.444,warmup,4952.0,1656.0,8.2005,61.44
30.544,warmup,4952.0,1688.0,8.3590,61.50
30.644,warmup,4952.0,1664.0,8.2401,61.41
30.744,warmup,4952.0,1688.0,8.3590,61.53
30.844,warmup,4952.0,1656.0,8.2005,61.34
30.944,warmup,4952.0,1696.0,8.3986,61.75
31.045,warmup,4952.0,1656.0,8.2005,61.50
31.145,warmup,4952.0,1688.0,8.3590,61.50
31.245,warmup,4952.0,1656.0,8.2005,61.59
31.345,warmup,4952.0,1688.0,8.3590,61.69
31.445,warmup,4952.0,1656.0,8.2005,61.38
31.545,warmup,4952.0,1688.0,8.3590,61.44
31.645,warmup,4952.0,1664.0,8.2401,61.56
31.746,warmup,4952.0,1696.0,8.3986,61.41
31.846,warmup,4952.0,1664.0,8.2401,61.41
31.946,warmup,4952.0,1696.0,8.3986,61.56
32.046,warmup,4952.0,1656.0,8.2005,61.59
32.146,warmup,4952.0,1696.0,8.3986,61.62
32.246,warmup,4952.0,1656.0,8.2005,61.47
32.346,warmup,4952.0,1672.0,8.2797,61.47
32.447,warmup,4952.0,1656.0,8.2005,61.47
32.547,warmup,4952.0,1680.0,8.3194,61.53
